Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,after_z1,after_z2,after_z3,after_z4,before_z1,before_z2,before_z3,before_z4
46,0.9014824766803671,0.0931902302911988,-1.9733312196201749,1.8029649643986314,1.1905851470375504,2.7804087968888105,0.8255211876498328,1.8029649643986314,0.8099840334444134,0.8099840334444134,3,3,3,3,16,16,16,16
47,0.9075199354577947,0.09192419093516138,-1.973010211079209,1.815039896302753,1.2125901348061032,2.791783692660155,0.8382961264363041,1.815039896302753,0.7264340715137897,0.7264340715137897,3,3,3,3,16,16,16,16
48,0.8970919676400997,0.092195562052506,-1.9721794812767595,1.794183968393891,1.2179760844619185,2.763193619472009,0.8251743261460904,1.794183968393891,0.8650639700116934,0.8650639700116934,3,3,3,3,16,16,16,16
49,0.8946530752711825,0.09087907647093137,-1.9695789129645735,1.7893061930382694,1.237342989831059,2.73892785332821,0.8396845470975947,1.7893061930382694,0.8146618762639938,0.8146618762639938,3,3,3,3,16,16,16,16
50,0.8938344556976248,0.09117217030790117,-1.9727064900928073,1.787668953339259,1.2311478731808838,2.7449669021147267,0.8303709830398913,1.787668953339259,0.8198419679646138,0.8198419679646138,2,3,3,2,16,16,16,16
51,0.8885636097855039,0.09112612627170703,-1.9709049661954243,1.7771272515809093,1.2674134528195415,2.724699495015321,0.8295549822074396,1.7771272515809093,0.8064463788436519,0.8064463788436519,3,2,3,2,16,16,16,16
52,0.8970405647048244,0.09205179178604374,-1.9671129959600944,1.794081183495345,1.281845522147638,2.7479892947055675,0.8401730689737532,1.794081183495345,0.7293799291796016,0.7293799291796016,3,3,3,3,16,16,16,16
53,0.8888662021469187,0.09146259131806868,-1.9684223863813612,1.777732409812786,1.2740437079358984,2.7206932836108737,0.8347715779587075,1.777732409812786,0.7928445878971144,0.7928445878971144,3,3,3,3,16,16,16,16
54,0.8811816043323941,0.09162146984427064,-1.965034149311207,1.7623632417784796,1.2823892406843327,2.6938147412406073,0.8309117980577327,1.7623632417784796,0.8902874002448732,0.8902874002448732,3,3,3,3,16,16,16,16
55,0.8817244246602058,0.09227540109444547,-1.9645199157573559,1.763448848216622,1.2662138243516285,2.7016277533990367,0.8252699617986325,1.763448848216622,0.9497993380624663,0.9497993380624663,3,3,3,3,16,16,16,16
56,0.8853974855608411,0.092392490417869,-1.9629623448407207,1.7707949777444203,1.2765827333485638,2.7102859373445862,0.8313040932019552,1.7707949777444203,0.9257770977500412,0.9257770977500412,3,3,3,3,16,16,16,16
57,0.879992190334532,0.0918325627291644,-1.963697936799791,1.7599844049524378,1.2950048479768965,2.6859409886377827,0.8340277986394035,1.7599844049524378,0.9048390684442388,0.9048390684442388,3,3,3,3,16,16,16,16
58,0.8747959545365086,0.09233075242351603,-1.9643844366073608,1.7495919190071247,1.3405265559752781,2.6568943902298257,0.8422894521995827,1.7495919190071247,0.8728700943153214,0.8728700943153214,3,3,3,3,16,16,16,16
59,0.8793030789604893,0.09298203650999952,-1.963285450582151,1.7586061822043524,1.3735397932706055,2.689017845524682,0.8281945475825557,1.7586061822043524,0.8787902472195802,0.8787902472195802,3,3,3,3,16,16,16,16
60,0.8664488593737284,0.09185202861273731,-1.9636353033560294,1.7328977308891438,1.3739156612643488,2.6327449017100863,0.8330506285031637,1.7328977308891438,0.8774729108230935,0.8774729108230935,3,3,3,3,16,16,16,16
61,0.8656705010820318,0.09208560721189887,-1.9612328785437125,1.7313410054754328,1.3834207698150918,2.6268123476593583,0.8358696914381452,1.7313410054754328,0.8814476933675232,0.8814476933675232,3,3,3,3,16,16,16,16
62,0.8615084638198217,0.09360903694673821,-1.9617480503188238,1.7230169795177601,1.38973229682004,2.621422355925595,0.8246116191148758,1.7230169795177601,0.9344234850119661,0.9344234850119661,3,3,3,3,16,16,16,16
