epoch,model_name,kl1,kl2,loss_rec,loss_cor,spec_total_loss,psnr,total_smoothness_loss,total_freq_weighted_loss,z1_private,z1_share,z_sample
41,JointCNNBasedVAE,0.0,0.0,5.8726876886794344e-05,0.0,0.0008742437930777669,0.6274607181549072,0.00011164924217155203,0.0002142028824891895,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
42,JointCNNBasedVAE,0.0,0.0,8.981796418083832e-05,0.0,0.0010937353363260627,0.6102153062820435,0.00020367090473882854,0.000239504428463988,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
43,JointCNNBasedVAE,0.0,0.0,7.889437256380916e-05,0.0,0.0010194492060691118,0.6154785752296448,0.00020265292550902814,0.0002135609247488901,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
44,JointCNNBasedVAE,0.0,0.0,6.101363760535605e-05,0.0,0.0008619180880486965,0.625910222530365,4.499819624470547e-05,0.0002035293000517413,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
45,JointCNNBasedVAE,0.0,0.0,5.8591689594322816e-05,0.0,0.0008436635253019631,0.6275542378425598,4.7590041504008695e-05,0.00019726429309230298,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
46,JointCNNBasedVAE,0.0,0.0,3.8725109334336594e-05,0.0,0.0006829620688222349,0.6443620324134827,2.453787783451844e-05,0.00015692802844569087,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
47,JointCNNBasedVAE,0.0,0.0,6.50638758088462e-05,0.0,0.0009298524237237871,0.6233015656471252,0.00011143035953864455,0.0002123472368111834,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
48,JointCNNBasedVAE,0.0,0.0,6.840362766524777e-05,0.0,0.0009367594611831009,0.6212698221206665,2.0257066353224218e-05,0.0002262588095618412,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
49,JointCNNBasedVAE,0.0,0.0,6.083577318349853e-05,0.0,0.0008901365799829364,0.6260287165641785,0.0001477550686104223,0.00021387454762589186,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
50,JointCNNBasedVAE,0.0,0.0,5.0318045396124944e-05,0.0,0.0007925582467578351,0.6337329745292664,0.0001000349730020389,0.000185397409950383,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
51,JointCNNBasedVAE,0.0,0.0,6.0135389503557235e-05,0.0,0.0008812723099254072,0.6264986991882324,5.516688179341145e-05,0.00021369427850004286,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
52,JointCNNBasedVAE,0.0,0.0,6.563918577739969e-05,0.0,0.0009496549610048532,0.6229442358016968,0.00023845868417993188,0.00021718365314882249,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
53,JointCNNBasedVAE,0.0,0.0,5.322276410879567e-05,0.0,0.0008341832435689867,0.6314550638198853,0.00011249060480622575,0.00020170702191535383,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
54,JointCNNBasedVAE,0.0,0.0,7.328113861149177e-05,0.0,0.0009669005521573126,0.6184743046760559,4.949688445776701e-05,0.00022486713714897633,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
55,JointCNNBasedVAE,0.0,0.0,5.5511183745693415e-05,0.0,0.0008333701407536864,0.6297463774681091,3.999997352366336e-05,0.00019402787438593805,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
56,JointCNNBasedVAE,0.0,0.0,6.166086677694693e-05,0.0,0.0008785506943240762,0.625481903553009,5.1791419537039474e-05,0.00020416507322806865,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
57,JointCNNBasedVAE,0.0,0.0,6.835422391304746e-05,0.0,0.0009235479519702494,0.621299147605896,4.0131333662429824e-05,0.0002138921117875725,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
58,JointCNNBasedVAE,0.0,0.0,6.484732148237526e-05,0.0,0.0009073278633877635,0.6234368681907654,7.91757192928344e-05,0.00020104425493627787,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
59,JointCNNBasedVAE,0.0,0.0,6.710168236168101e-05,0.0,0.0009369291947223246,0.6220498085021973,9.795368532650173e-05,0.00021286470291670412,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
60,JointCNNBasedVAE,0.0,0.0,6.293600745266303e-05,0.0,0.0008928581955842674,0.6246511936187744,2.1472711523529142e-05,0.00020760795450769365,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
61,JointCNNBasedVAE,0.0,0.0,5.260642501525581e-05,0.0,0.0008268023957498372,0.6319278478622437,0.000106232357211411,0.00019360531587153673,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
62,JointCNNBasedVAE,0.0,0.0,6.323618435999379e-05,0.0,0.0008792805019766092,0.6244580149650574,3.64656989404466e-05,0.0002096728712785989,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
63,JointCNNBasedVAE,0.0,0.0,5.597249401034787e-05,0.0,0.0008537080138921738,0.6294105052947998,6.535840657306835e-05,0.00019960899953730404,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
64,JointCNNBasedVAE,0.0,0.0,6.958700396353379e-05,0.0,0.0009708494762890041,0.6205736398696899,0.00020888308063149452,0.0002328098489670083,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
65,JointCNNBasedVAE,0.0,0.0,7.060173084028065e-05,0.0,0.0009503842447884381,0.6199861168861389,1.4468365407083184e-05,0.00022628481383435428,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
